"TX_RESPOSTAS_CH";"TX_GABARITO_CH"
"ECEBDCEABDDDABDAEEDBBCADBCBECABECDECADBEAEBEA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEAEBEDAEBBDECADADBBEDDBAEABCEDABAEDEDCDBBECA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CCABAADBADBCACDECEDBCEDAADEEDEDACDBCEADDBADCD";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEACCADEDEABEBBEBBCBEDDCAABBAECADCEDBBDDABDAE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABCDDBBDAADCAEBBEAADEACBDDACCDEDDDBDDDDDDEA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEACCDDBBDADECAEBBABBADBAEEB*BADAADABEDAAEAEE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"ACABEEDEBDAACCAEABCBEDEEAADBBBDDCAABCBDDEBEEB";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEACCDCAADBDBCECAEBBCEBACEDBDAACEADCCEBDACCCC";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"ACABCACAEBBCDDBECCACCDDBAAEDEBDAEDAEBDCDCBACA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABEEDDEDACECBEACDBCDDAAADBCBCACDBEBEBDABACA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEBDABABACDAEDBAABDABAADACABABADACCEABCBCBDED";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"ABEDDEBBDAABDEDABCBEEBACBCDAEBACEAECBBCDEAEBC";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DCABEADACBACAEEEDBACEADBAEEABBDABBDCDEACDECCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"ACABEEDBDBADDCAECBEBCDDAAAEBDECAEABDBBDDABBCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"AAAAAAAAAAAAAAACCCCCCCBBBBEEEEAAAAADDDEEECCBB";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"EEABCDEACCACBABEBDEBACDAEADBCBCCCACBBBEDADDEE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABEEDADDADECBECBEBCDDEADDBCEDAEAEDBBDDDBBCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CEADCBDCDBADDBECAACBACABABBCDBCAACEACBCEDEDCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CEAEADDAEEACECBDCBEBDEDBBCBDBBADCADABBCDDAAED";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"AEAAEAABECADEBBABBBBADEBCAAEDCDADCCDBBDDCDBCC";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEAACADBDEAAECBEAAAEADDAAADBCEAAC.A.BBAABADCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CEADCEDAEDBEBBECCBADAEEBADAECDECCBDEAABCECBDB";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CAEBEBBCBEAADBDABDBEACEBCDACEBBCBEBDAEBDBECEA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABEDDEEBADDBEEDDCCCDDAAADBBBCACABDBBCDDBCEA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DCACEEDBEDAEDBBEABABADEDAEEBCBDBAACBCDEDDADCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"BDACAADAAEADEBBEACCBDAABAEAEBBAACCBACBEDCBACE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABCEDADDABDBBECCCBCDDBAADBBEDACACDBBCABBDCD";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"BDECACBEBBBDBCDCEDABBADDBADBACABADCADABBCABEC";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"AAACBCDBBCECECEEDCABABEDAEDAADBBBBEACEAAADECA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"AEADEEAEABBDBBBEBABBDEDACDAACEDDDACEEBEADCDCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CCABABCDABA.DBABDBBAECBAABEABDBABACCDBDCCBCAE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABEEDAAEADBCBECBABEDBAADDBCECAEACDBECDBBACD";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CEAABBAABEABDABCEEABCADBA.BADCCABDEAE.D..ACCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"AEAACEDBDDBBECBEBAABBDDAAADCCEDACACDABCBBABCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEACCADBBDADECBEBDABCDCBCEADCBDAEEECEBDDBA*CD";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CCABEBCABCACEAEECCABCDDAAEBBDCBBDAEEEBBDEBEAB";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"BBACBEAABBECDBBAABABBBCABBDCDDDBCACBCCCBBDCBD";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABCEAAEEAADBEEADEBCCDDAAABBECADDCDEBAEDEDCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"ACABEEABDBADEBCAEBABAEBDACAAEBBDBDADBADEBACDA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABAADAEBAECCEEAEABCBCBEAEBBBDECAAAEBDACBBCB";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"ACACCDDAEDAEECAECBBBACEDAADDCEDABACEEBCDBBBCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABEADAABABECCECCDBADDAAADBCBDADCDABBDDABDCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CCABEEDEDBADDBBDABCBADCAADEBEBDADCCCBADABBDCD";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEACCACBDABDEBAEACEBDC*EACAEBECAABDCEBECBCDCD";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
